Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PYF,French Polynesia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
QAT,Qatar,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2897.4,2781.1,3145.4,3048.2,3169.7,3188,3377.7,3377,3362.5,3797.8,4099.4,4046.7,4163,3706.4,4121.6,3649.1,3635.8,3787,3970,4746.1,..,..
ROM,Romania,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,3010.7,3191.6,2128.2,2422.6,2772.8,3085,2430.2,3498,2620.2,3178.4,1860.3,3005.2,2513.7,2534.1,3995.3,3334.2,3102.2,1642.9,3247.1,2824.6,..,..
RUS,Russian Federation,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,1743.2,1635.8,1457.6,1223.5,1389.4,1790,1301,1452.5,1563.3,1936.9,1972,1783.5,1882.5,1860.1,1886.8,1989.8,2388.1,2281.1,..,..
RWA,Rwanda,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1042.6,1261,962.5,1460.5,1041.1,1145.2,1269.9,1129.1,972.6,824.8,848.3,914,1027.4,944.3,959.3,1183.5,1117.7,1014.6,1278.4,1828.7,..,..
SAS,South Asia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1926.140545,1961.485058,2045.025368,2100.13382,2095.501639,2127.867389,2189.663645,2228.492762,2275.993158,2353.211825,2375.826927,2460.044035,2305.063637,2466.835874,2436.580852,2530.708025,2552.844051,2702.883298,2773.131942,2728.387568,..,..
SAU,Saudi Arabia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,4244.7,4200.6,4191.6,4462.3,4546.5,3784.4,3429.4,3562.7,3540.4,3575.4,3516.3,3931.9,4047.5,4228.8,4675.1,4753.2,5047.1,5121.7,5218.2,4161.4,..,..
SDN,Sudan,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,455.7,681.1,651.5,503.1,508.2,424.8,606.9,430.4,594,429.5,505.1,626.1,487.1,643.7,657.2,503.7,644.7,729.4,567.1,587.2,..,..
SEN,Senegal,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,795,825.6,787.7,841.5,745.3,873.7,758.4,699,669.6,803.3,879.3,887,651.6,1090.6,974.4,1201.1,879,722.4,1174.2,1134.5,..,..
SGP,Singapore,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SID,Small island developing states,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1983.742013,1984.43563,1916.606461,1801.506659,1827.987913,1997.550557,2052.79092,2058.845173,1921.073376,2125.909123,2075.422857,2181.65423,2302.787404,2282.358327,2217.023453,2181.859445,2205.786094,2109.167833,2175.429681,1921.718797,..,..
SLB,Solomon Islands,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,3571.4,3544.6,3664.4,3202,3440.5,3734.2,2699.1,3541.4,3939.3,4500,4649.5,4649.5,4598.3,3207.5,3125,3000,3374.8,3001,3174,3265,..,..
SLE,Sierra Leone,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1201.6,1233.7,1233.9,1187.7,1161,1194.9,1253.3,1205.5,1111.5,1118.9,1078.2,998.5,995.8,1011.8,1011.4,1117.7,1343.4,1273.5,1332.7,1402.3,..,..
SLV,El Salvador,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1939.3,1633.5,2039.3,1986.9,1609.6,2051.2,2119.3,1736.2,1886.6,2250,2155.2,1909.6,2476.8,2472.5,2486.1,2632.6,2802.9,2615.2,2905.3,2726.8,..,..
SMR,San Marino,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SOM,Somalia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,793,560.9,519.1,452.4,410.3,493.8,501.4,478.9,419.1,581.4,732.9,812.6,769.4,687.4,497.5,472.3,395,434.5,337.9,371.4,..,..
SRB,Serbia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4460.3,3217.1,4580,4622.7,..,..
SSA,Sub-Saharan Africa,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1033.198288,1043.190403,885.5803029,1055.774509,1040.028798,986.877511,1132.975683,1052.978271,1071.545969,1108.909572,1130.472563,1129.74598,1138.875424,1112.337995,1175.863323,1170.619973,1242.981907,1201.240738,1292.466118,1296.908799,..,..
STP,Sao Tome and Principe,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1928.5,2117.6,2222.2,1967.5,2263.1,2222.2,2250,2222.2,1931.4,2189.9,2230,2173.9,2107.4,2131.1,2145.7,2384.6,2454.5,2307.6,3167,4056.2,..,..
SUR,Suriname,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,3765.1,3813.4,3795.1,3694.9,3957.8,4026.5,3700.7,3980.7,3756.5,3718.6,3896,3767.3,3921.2,3693.7,3558.9,3597.8,4128.7,4252.7,4188.7,3749.6,..,..
SVK,Slovak Republic,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,3774.9,4302.9,4114.8,4013.5,4399.2,4053.9,3856.6,2709.1,4086.9,3895.1,3135,4640.7,4511.8,3974.1,3561.1,5175.3,4327.3,..,..
SVN,Slovenia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,3278.8,3765.1,5018.6,5003.6,4864.8,5632.3,5793,5186.4,4803,4734.4,6120.9,4000.7,5815.1,6000.7,5107.8,5339.6,5464,5256.5,..,..
